Material,Wood
Geometry,Rectangular
Width,"17.75460",mm
Thickness,"1.60020",mm
Length,"50.80000",mm

Time,Extension,Load
(s),(mm),(N)
"27.50000","0.40760","1,289.01208"
"27.60000","0.40905","1,294.65210"
"27.70000","0.41042","1,300.04724"
"27.80000","0.41196","1,306.43701"
"27.90000","0.41358","1,313.03503"
"28.00000","0.41494","1,318.91040"
"28.10000","0.41622","1,323.56921"
"28.20000","0.41785","1,329.87415"
"28.30000","0.41947","1,336.66174"
"28.40000","0.42109","1,343.08105"
"28.50000","0.42246","1,348.54260"
"28.60000","0.42391","1,354.12427"
"28.70000","0.42528","1,359.67334"
"28.80000","0.42690","1,365.94312"
"28.90000","0.42843","1,372.88794"
"29.00000","0.42989","1,378.38306"
"29.10000","0.43125","1,383.96423"
"29.20000","0.43253","1,388.77466"
"29.30000","0.43398","1,394.29553"
"29.40000","0.43569","1,401.60132"
"29.50000","0.43740","1,409.00671"
"29.60000","0.43885","1,414.87988"
"29.70000","0.44022","1,420.36182"
"29.80000","0.44158","1,425.79285"
"29.90000","0.44303","1,431.26648"
"30.00000","0.44457","1,437.62085"
"30.10000","0.44611","1,444.00269"
"30.20000","0.44756","1,449.92725"
"30.30000","0.44884","1,454.72241"
"30.40000","0.45046","1,460.98132"
"30.50000","0.45208","1,468.04089"
"30.60000","0.45362","1,474.74487"
"30.70000","0.45507","1,472.61401"
"30.80000","0.45644","1,478.47021"
"30.90000","0.45789","1,484.16650"
"31.00000","0.45943","1,490.64465"
"31.10000","0.46105","1,497.84668"
"31.20000","0.46250","1,503.91248"
"31.30000","0.46387","1,509.43262"
"31.40000","0.46515","1,514.43860"
"31.50000","0.46660","1,520.42981"
"31.60000","0.46831","1,527.44214"
"31.70000","0.47001","1,534.81152"
"31.80000","0.47138","1,540.91064"
"31.90000","0.47283","1,546.41602"
"32.00000","0.47420","1,552.04089"
"32.10000","0.47565","1,557.83923"
"32.20000","0.47719","1,564.12329"
"32.30000","0.47872","1,570.47424"
"32.40000","0.48009","1,576.11768"
"32.50000","0.48145","1,581.19067"
"32.60000","0.48308","1,588.01440"
"32.70000","0.48470","1,594.80408"
"32.80000","0.48624","1,601.77087"
"32.90000","0.48769","1,607.18933"
"33.00000","0.48905","1,612.63660"
"33.10000","0.49051","1,618.25928"
"33.20000","0.49204","1,624.02319"
"33.30000","0.49366","1,630.68701"
"33.40000","0.49512","1,632.16089"
"33.50000","0.49640","1,637.32971"
"33.60000","0.49768","1,642.39587"
"33.70000","0.49921","1,648.59729"
"33.80000","0.50084","1,655.48291"
"33.90000","0.50263","1,663.18030"
"34.00000","0.50408","1,669.30798"
"34.10000","0.50545","1,674.61133"
"34.20000","0.50681","1,680.19336"
"34.30000","0.50818","1,685.84253"
"34.40000","0.50980","1,692.31042"
"34.50000","0.51134","1,698.82593"
"34.60000","0.51270","1,704.60095"
"34.70000","0.51407","1,710.02393"
"34.80000","0.51561","1,716.24719"
"34.90000","0.51731","1,723.18335"
"35.00000","0.51885","1,730.01660"
"35.10000","0.52022","1,735.53406"
"35.20000","0.52167","1,741.34436"
"35.30000","0.52312","1,746.92334"
"35.40000","0.52466","1,753.09485"
"35.50000","0.52628","1,759.93335"
"35.60000","0.52765","1,765.77222"
"35.70000","0.52901","1,771.34375"
"35.80000","0.53029","1,776.18567"
"35.90000","0.53174","1,781.84583"
"36.00000","0.53354","1,789.40967"
"36.10000","0.53524","1,796.89331"
"36.20000","0.53661","1,802.65295"
"36.30000","0.53798","1,807.95508"
"36.40000","0.53943","1,813.48230"
"36.50000","0.54079","1,819.20093"
"36.60000","0.54242","1,825.42285"
"36.70000","0.54387","1,831.79114"
"36.80000","0.54523","1,837.39429"
"36.90000","0.54668","1,842.73999"
"37.00000","0.54831","1,849.40588"
"37.10000","0.54993","1,856.18176"
"37.20000","0.55147","1,862.83142"
"37.30000","0.55283","1,868.45496"
"37.40000","0.55420","1,873.77771"
"37.50000","0.55565","1,879.48938"
"37.60000","0.55727","1,885.86548"
"37.70000","0.55889","1,892.80762"
"37.80000","0.56026","1,898.51746"
"37.90000","0.56163","1,903.77832"
"38.00000","0.56291","1,908.65967"
"38.10000","0.56436","1,914.36450"
"38.20000","0.56615","1,921.48853"
"38.30000","0.56786","1,928.72131"
"38.40000","0.56922","1,934.21399"
"38.50000","0.57059","1,939.33557"
"38.60000","0.57204","1,944.83618"
"38.70000","0.57341","1,950.36646"
"38.80000","0.57503","1,956.88037"
"38.90000","0.57648","1,962.96265"
"39.00000","0.57785","1,968.48694"
"39.10000","0.57930","1,973.88586"
"39.20000","0.58084","1,979.89331"
