Material,Steel
Geometry,Rectangular
Width,"0.12700",mm
Thickness,"12.75080",mm
Length,"50.80000",mm

Time,Extension,Load
(s),(mm),(N)
"48.80000","0.82664","1,939.60693"
"48.90000","0.82852","1,943.88135"
"49.00000","0.83006","1,946.92566"
"49.10000","0.83168","1,950.08618"
"49.20000","0.83322","1,953.28516"
"49.30000","0.83501","1,957.04724"
"49.40000","0.83672","1,960.77600"
"49.50000","0.83834","1,963.93237"
"49.60000","0.83988","1,966.96838"
"49.70000","0.84176","1,970.91040"
"49.80000","0.84363","1,974.84937"
"49.90000","0.84526","1,978.46667"
"50.00000","0.84688","1,981.48938"
"50.10000","0.84842","1,984.50757"
"50.20000","0.85029","1,988.46802"
"50.30000","0.85217","1,992.48608"
"50.40000","0.85371","1,995.48584"
"50.50000","0.85516","1,998.19397"
"50.60000","0.85670","2,001.19104"
"50.70000","0.85875","2,005.36194"
"50.80000","0.86063","2,009.64722"
"50.90000","0.86225","2,012.77795"
"51.00000","0.86387","2,015.76428"
"51.10000","0.86541","2,018.77087"
"51.20000","0.86711","2,022.11780"
"51.30000","0.86891","2,025.60986"
"51.40000","0.87044","2,028.79236"
"51.50000","0.87207","2,031.84998"
"51.60000","0.87386","2,035.39221"
"51.70000","0.87574","2,039.22461"
"51.80000","0.87744","2,042.73853"
"51.90000","0.87907","2,045.55969"
"52.00000","0.88069","2,048.60938"
"52.10000","0.88240","2,051.86621"
"52.20000","0.88436","2,055.80273"
"52.30000","0.88590","2,058.92212"
"52.40000","0.88735","2,061.47437"
"52.50000","0.88889","2,064.17822"
"52.60000","0.89085","2,068.02002"
"52.70000","0.89281","2,072.04858"
"52.80000","0.89452","2,075.34741"
"52.90000","0.89606","2,078.04175"
"53.00000","0.89759","2,081.03442"
"53.10000","0.89930","2,084.03149"
"53.20000","0.90109","2,087.48682"
"53.30000","0.90272","2,090.58130"
"53.40000","0.90425","2,093.23999"
"53.50000","0.90596","2,096.38965"
"53.60000","0.90784","2,100.00391"
"53.70000","0.90972","2,103.52197"
"53.80000","0.91125","2,106.19263"
"53.90000","0.91288","2,109.04102"
"54.00000","0.91458","2,111.97925"
"54.10000","0.91646","2,115.50806"
"54.20000","0.91809","2,118.59424"
"54.30000","0.91962","2,121.01392"
"54.40000","0.92107","2,123.36279"
"54.50000","0.92287","2,126.48975"
"54.60000","0.92492","2,129.05786"
"54.70000","0.92671","2,132.21655"
"54.80000","0.92825","2,134.67163"
"54.90000","0.92978","2,137.20850"
"55.00000","0.93140","2,139.90576"
"55.10000","0.93320","2,143.02612"
"55.20000","0.93491","2,145.84644"
"55.30000","0.93644","2,148.18921"
"55.40000","0.93815","2,150.86060"
"55.50000","0.94003","2,154.14673"
"55.60000","0.94182","2,157.49561"
"55.70000","0.94344","2,160.01465"
"55.80000","0.94507","2,162.54810"
"55.90000","0.94669","2,165.03662"
"56.00000","0.94857","2,168.07593"
"56.10000","0.95027","2,171.45630"
"56.20000","0.95181","2,173.61963"
"56.30000","0.95326","2,175.66260"
"56.40000","0.95497","2,178.26782"
"56.50000","0.95710","2,182.04370"
"56.60000","0.95890","2,185.12573"
"56.70000","0.96043","2,187.40210"
"56.80000","0.96189","2,189.58228"
"56.90000","0.96359","2,192.02734"
"57.00000","0.96539","2,194.91895"
"57.10000","0.96718","2,197.66650"
"57.20000","0.96863","2,199.95898"
"57.30000","0.97034","2,202.28052"
"57.40000","0.97222","2,205.23364"
"57.50000","0.97401","2,208.32520"
"57.60000","0.97563","2,210.52173"
"57.70000","0.97725","2,212.66113"
"57.80000","0.97896","2,215.09131"
"57.90000","0.98075","2,217.87891"
"58.00000","0.98246","2,220.52417"
"58.10000","0.98400","2,222.49121"
"58.20000","0.98545","2,224.30688"
"58.30000","0.98716","2,226.41406"
"58.40000","0.98921","2,229.71924"
"58.50000","0.99108","2,232.83838"
"58.60000","0.99262","2,234.72949"
"58.70000","0.99416","2,236.46777"
"58.80000","0.99578","2,238.36401"
"58.90000","0.99757","2,240.95752"
