Specimen choice input : Material,Steel
Specimen properties : Geometry,Rectangular
Specimen properties : Width,"13.03000",mm
Specimen properties : Thickness,"3.57000",mm

Time,Extension,Load
(s),(mm),(N)
"29.30000","-1.71374","377.06277"
"29.40000","-1.71331","378.32541"
"29.50000","-1.71280","379.60321"
"29.60000","-1.71237","380.83276"
"29.70000","-1.71194","382.06772"
"29.80000","-1.71152","383.36963"
"29.90000","-1.71100","384.64059"
"30.00000","-1.71058","385.90665"
"30.10000","-1.71015","387.16504"
"30.20000","-1.70964","388.41522"
"30.30000","-1.70921","389.66901"
"30.40000","-1.70878","390.91302"
"30.50000","-1.70836","392.16217"
"30.60000","-1.70785","393.41986"
"30.70000","-1.70742","394.64124"
"30.80000","-1.70699","395.82855"
"30.90000","-1.70656","397.08743"
"31.00000","-1.70605","398.37930"
"31.10000","-1.70563","399.59863"
"31.20000","-1.70520","400.85858"
"31.30000","-1.70477","402.10437"
"31.40000","-1.70426","403.37875"
"31.50000","-1.70383","404.61243"
"31.60000","-1.70341","405.89359"
"31.70000","-1.70289","407.16675"
"31.80000","-1.70247","408.41870"
"31.90000","-1.70204","409.68268"
"32.00000","-1.70161","410.95627"
"32.10000","-1.70119","412.21436"
"32.20000","-1.70067","413.46945"
"32.30000","-1.70025","414.70319"
"32.40000","-1.69982","415.96844"
"32.50000","-1.69939","417.20810"
"32.60000","-1.69897","418.40582"
"32.70000","-1.69845","419.67987"
"32.80000","-1.69803","420.91098"
"32.90000","-1.69760","422.12778"
"33.00000","-1.69717","423.40372"
"33.10000","-1.69675","424.61887"
"33.20000","-1.69632","425.92731"
"33.30000","-1.69581","427.16861"
"33.40000","-1.69538","428.42612"
"33.50000","-1.69495","429.70343"
"33.60000","-1.69444","430.97028"
"33.70000","-1.69401","432.24744"
"33.80000","-1.69359","433.48834"
"33.90000","-1.69316","434.77823"
"34.00000","-1.69273","436.04959"
"34.10000","-1.69231","437.26801"
"34.20000","-1.69179","438.52246"
"34.30000","-1.69137","439.71335"
"34.40000","-1.69094","440.97592"
"34.50000","-1.69051","442.21124"
"34.60000","-1.69009","443.45822"
"34.70000","-1.68966","444.65762"
"34.80000","-1.68923","445.93097"
"34.90000","-1.68881","447.13016"
"35.00000","-1.68838","448.38245"
"35.10000","-1.68787","449.64798"
"35.20000","-1.68744","450.90662"
"35.30000","-1.68701","452.18387"
"35.40000","-1.68659","453.44540"
"35.50000","-1.68616","454.72177"
"35.60000","-1.68573","456.01959"
"35.70000","-1.68531","457.23801"
"35.80000","-1.68479","458.50986"
"35.90000","-1.68437","459.75845"
"36.00000","-1.68394","460.99719"
"36.10000","-1.68351","462.28360"
"36.20000","-1.68309","463.51782"
"36.30000","-1.68266","464.75876"
"36.40000","-1.68223","465.99741"
"36.50000","-1.68180","467.23389"
"36.60000","-1.68138","468.47852"
"36.70000","-1.68087","469.70938"
"36.80000","-1.68044","471.00879"
"36.90000","-1.68001","472.26361"
"37.00000","-1.67958","473.52005"
"37.10000","-1.67916","474.77979"
"37.20000","-1.67873","476.00937"
"37.30000","-1.67830","477.29202"
"37.40000","-1.67788","478.56543"
"37.50000","-1.67736","479.81976"
"37.60000","-1.67694","481.03427"
"37.70000","-1.67651","482.33929"
"37.80000","-1.67608","483.59424"
"37.90000","-1.67566","484.82443"
"38.00000","-1.67523","486.08844"
"38.10000","-1.67480","487.26474"
"38.20000","-1.67438","488.51987"
"38.30000","-1.67395","489.74564"
"38.40000","-1.67352","491.03583"
"38.50000","-1.67310","492.27777"
"38.60000","-1.67267","493.53601"
"38.70000","-1.67224","494.77759"
"38.80000","-1.67182","496.03256"
"38.90000","-1.67139","497.30035"
"39.00000","-1.67096","498.58130"
"39.10000","-1.67053","499.81985"
"39.20000","-1.67011","501.06528"
"39.30000","-1.66960","502.34634"
"39.40000","-1.66917","503.60480"
"39.50000","-1.66874","504.83862"
"39.60000","-1.66831","506.15384"
"39.70000","-1.66789","507.37598"
"39.80000","-1.66746","508.63239"
"39.90000","-1.66703","509.86929"
"40.00000","-1.66661","511.06662"
"40.10000","-1.66627","512.35773"
"40.20000","-1.66575","513.58942"
"40.30000","-1.66533","514.78271"
