Material,Steel,
Geometry,Rectangular,
Width,3.502,mm
Thickness,2.49,mm
Length,50.8,mm
,,
Time,Extension,Load
(s),(mm),(N)
76.50,1.29546,2192.59
76.60,1.29708,2192.94
76.70,1.29879,2194.26
76.80,1.3005,2195.2
76.90,1.30204,2195.15
77.00,1.30374,2196.03
77.10,1.30562,2198.5
77.20,1.3075,2200.41
77.30,1.30904,2198.9
77.40,1.31057,2197.83
77.50,1.3122,2197.42
77.60,1.31416,2200.36
77.70,1.31595,2201.74
77.80,1.3174,2199.73
77.90,1.31886,2198.05
78.00,1.32056,2198.11
78.10,1.3227,2202.31
78.20,1.32449,2203.98
78.30,1.32603,2200.68
78.40,1.32757,2199.19
78.50,1.32919,2198.78
78.60,1.33098,2199.9
78.70,1.3326,2200.14
78.80,1.33422,2199.93
78.90,1.33593,2200.03
79.00,1.33781,2201.51
79.10,1.3396,2203.01
79.20,1.34123,2200.35
79.30,1.34276,2199.68
79.40,1.34439,2199.46
79.50,1.34635,2202.96
79.60,1.34814,2204.95
79.70,1.34968,2203.16
79.80,1.35104,2200.91
79.90,1.35275,2198.95
80.00,1.3548,2200.8
80.10,1.35668,2201.1
80.20,1.35822,2196.81
80.30,1.35975,2194.48
80.40,1.36138,2193.25
80.50,1.36317,2194.19
80.60,1.36488,2195.47
80.70,1.3665,2195.59
80.80,1.36812,2195.06
80.90,1.36991,2196.49
81.00,1.37171,2198.48
81.10,1.37341,2198.34
81.20,1.37495,2197.46
81.30,1.37657,2196.24
81.40,1.37845,2199.16
81.50,1.38033,2200.87
81.60,1.38187,2198.72
81.70,1.38332,2196.15
81.80,1.38485,2194.53
81.90,1.38682,2197.02
82.00,1.38887,2200.55
82.10,1.3904,2198.49
82.20,1.39194,2196.41
82.30,1.39356,2195.44
82.40,1.39527,2195.49
82.50,1.39706,2196.79
82.60,1.39869,2196.16
82.70,1.40022,2194.44
82.80,1.40202,2195.03
82.90,1.40389,2196.77
83.00,1.4056,2197.02
83.10,1.40722,2194.5
83.20,1.40876,2192.6
83.30,1.41055,2192.7
83.40,1.41252,2193.79
83.50,1.41405,2189.52
83.60,1.41559,2184.29
83.70,1.41704,2181.25
83.80,1.41892,2181.93
83.90,1.42097,2184.73
84.00,1.42259,2181.26
84.10,1.42421,2176.57
84.20,1.42584,2173.36
84.30,1.42746,2172.39
84.40,1.42917,2172.58
84.50,1.43087,2172.74
84.60,1.43241,2172.75
84.70,1.43412,2174.14
84.80,1.436,2177.99
84.90,1.43779,2181.72
85.00,1.43941,2183.18
85.10,1.44095,2184.69
85.20,1.44266,2187.78
85.30,1.44462,2192.77
85.40,1.44624,2195.65
85.50,1.44778,2195.99
85.60,1.44923,2196.96
85.70,1.45102,2200.94
85.80,1.45316,2208.03
85.90,1.45487,2210.68
86.00,1.4564,2210.84
86.10,1.45794,2212.03
86.20,1.45965,2214.05
86.30,1.46144,2217.25
86.40,1.46306,2219.6
86.50,1.46468,2220.02
86.60,1.46631,2221.4
86.70,1.46819,2224.55
86.80,1.46998,2227.9
86.90,1.4716,2227.97
87.00,1.47322,2228.09
87.10,1.47484,2228.87
87.20,1.47672,2231.67
87.30,1.47852,2233.86
87.40,1.47997,2232.44
87.50,1.48142,2231.78
87.60,1.48313,2233.04
87.70,1.48526,2238.1
87.80,1.48705,2240.14
87.90,1.48859,2238.46
88.00,1.49021,2238.01
88.10,1.49175,2237.54
88.20,1.49354,2238.56
88.30,1.49525,2240.77
88.40,1.49687,2240.79
88.50,1.49849,2240.8
88.60,1.50029,2242.78
88.70,1.50217,2245.53
88.80,1.50379,2245.52
88.90,1.50533,2244.87
89.00,1.50703,2245.17
89.10,1.50883,2246.78
89.20,1.51062,2249.16
89.30,1.51216,2248.11
89.40,1.51369,2247.06
89.50,1.51523,2247.27
89.60,1.51736,2251.46
89.70,1.51924,2254.48
89.80,1.52078,2252.65
89.90,1.52232,2251.3
