Specimen choice input : Material,Steel,
Specimen properties : Geometry,Rectangular,
Width,7.091,mm
Thickness,7.091,mm
,,
Time,Extension,Load
(s),(mm),(N)
38.7,0.2,1049.75
38.8,0.2,1052.38
38.9,0.2,1055.12
39,0.2,1057.72
39.1,0.2,1060.43
39.2,0.2,1063.18
39.3,0.2,1065.83
39.4,0.2,1068.48
39.5,0.2,1071.23
39.6,0.2,1073.85
39.7,0.2,1076.58
39.8,0.2,1079.26
39.9,0.2,1081.95
40,0.2,1084.69
40.1,0.2,1087.32
40.2,0.2,1089.99
40.3,0.2,1092.78
40.4,0.2,1095.36
40.5,0.2,1098.13
40.6,0.2,1100.75
40.7,0.2,1103.45
40.8,0.2,1106.24
40.9,0.2,1108.79
41,0.2,1111.52
41.1,0.2,1114.14
41.2,0.2,1116.93
41.3,0.21,1119.47
41.4,0.21,1122.21
41.5,0.21,1125.02
41.6,0.21,1127.53
41.7,0.21,1130.32
41.8,0.21,1132.9
41.9,0.21,1135.68
42,0.21,1138.29
42.1,0.21,1141.05
42.2,0.21,1143.73
42.3,0.21,1146.37
42.4,0.21,1149.08
42.5,0.21,1151.84
42.6,0.21,1154.55
42.7,0.21,1157.15
42.8,0.21,1159.87
42.9,0.21,1162.56
43,0.21,1165.3
43.1,0.21,1167.94
43.2,0.21,1170.58
43.3,0.21,1173.35
43.4,0.21,1176.1
43.5,0.21,1178.76
43.6,0.21,1181.4
43.7,0.21,1184.08
43.8,0.21,1186.91
43.9,0.21,1189.51
44,0.21,1192.17
44.1,0.21,1194.82
44.2,0.21,1197.47
44.3,0.21,1200.3
44.4,0.21,1202.82
44.5,0.21,1205.55
44.6,0.21,1208.22
44.7,0.21,1211
44.8,0.22,1213.8
44.9,0.22,1216.28
45,0.22,1219.13
45.1,0.22,1221.65
45.2,0.22,1224.43
45.3,0.22,1227.03
45.4,0.22,1229.81
45.5,0.22,1232.45
45.6,0.22,1235.13
45.7,0.22,1237.82
45.8,0.22,1240.53
45.9,0.22,1243.28
46,0.22,1245.89
46.1,0.22,1248.61
46.2,0.22,1251.34
46.3,0.22,1253.98
46.4,0.22,1256.75
46.5,0.22,1259.61
46.6,0.22,1262.02
46.7,0.22,1264.75
46.8,0.22,1267.45
46.9,0.22,1270.13
47,0.22,1272.86
47.1,0.22,1275.6
47.2,0.22,1278.19
47.3,0.22,1280.88
47.4,0.22,1283.48
47.5,0.22,1286.22
47.6,0.22,1288.91
47.7,0.22,1291.53
47.8,0.22,1294.31
47.9,0.22,1296.98
48,0.22,1299.73
48.1,0.22,1302.4
48.2,0.22,1305.08
48.3,0.23,1307.82
48.4,0.23,1310.48
48.5,0.23,1313.15
48.6,0.23,1316.03
48.7,0.23,1318.47
48.8,0.23,1321.27
48.9,0.23,1323.87
49,0.23,1326.72
49.1,0.23,1329.42
49.2,0.23,1331.99
49.3,0.23,1334.65
49.4,0.23,1337.38
49.5,0.23,1340.12
49.6,0.23,1342.72
49.7,0.23,1345.39
49.8,0.23,1348.22
49.9,0.23,1350.67
50,0.23,1353.53
50.1,0.23,1356.07
50.2,0.23,1358.83
50.3,0.23,1361.43
50.4,0.23,1364.24
50.5,0.23,1366.92
50.6,0.23,1369.57
50.7,0.23,1372.31
50.8,0.23,1374.86
50.9,0.23,1377.58
51,0.23,1380.5
51.1,0.23,1383
51.2,0.23,1385.88
51.3,0.23,1388.46
51.4,0.23,1391.15
51.5,0.23,1393.81
51.6,0.23,1396.5
51.7,0.23,1399.3
51.8,0.24,1401.91
51.9,0.24,1404.56
52,0.24,1407.41
52.1,0.24,1410.08
52.2,0.24,1412.64
52.3,0.24,1415.27
52.4,0.24,1418.16
52.5,0.24,1420.63
52.6,0.24,1423.42
52.7,0.24,1426.04
52.8,0.24,1428.67
52.9,0.24,1431.47
53,0.24,1434.02
53.1,0.24,1436.79
53.2,0.24,1439.35
53.3,0.24,1442.09
53.4,0.24,1444.78
53.5,0.24,1447.48
53.6,0.24,1450.26
53.7,0.24,1453.01
53.8,0.24,1455.64
53.9,0.24,1458.39
54,0.24,1461.01
54.1,0.24,1463.65
54.2,0.24,1466.3
54.3,0.24,1469.17
54.4,0.24,1471.71
54.5,0.24,1474.51
54.6,0.24,1477.08
54.7,0.24,1479.8
54.8,0.24,1482.63
54.9,0.24,1485.15
55,0.24,1487.94
55.1,0.24,1490.51
55.2,0.24,1493.31
55.3,0.25,1495.95
55.4,0.25,1498.53
55.5,0.25,1501.42
55.6,0.25,1503.99
55.7,0.25,1506.73
55.8,0.25,1509.42
55.9,0.25,1512.12
56,0.25,1514.64
56.1,0.25,1517.48
56.2,0.25,1520.28
56.3,0.25,1522.74
56.4,0.25,1525.57
56.5,0.25,1528.5
56.6,0.25,1531.06
56.7,0.25,1533.46
56.8,0.25,1536.21
56.9,0.25,1539.15
57,0.25,1541.96
57.1,0.25,1544.36
57.2,0.25,1546.87
57.3,0.25,1549.74
57.4,0.25,1552.48
57.5,0.25,1555.17
57.6,0.25,1557.77
57.7,0.25,1560.35
57.8,0.25,1563.24
57.9,0.25,1565.77
58,0.25,1568.62
58.1,0.25,1571.15
58.2,0.25,1573.88
58.3,0.25,1576.62
58.4,0.25,1579.27
58.5,0.25,1582.03
58.6,0.25,1584.64
58.7,0.25,1587.41
58.8,0.25,1590.17
58.9,0.26,1592.62
59,0.26,1595.49
59.1,0.26,1598.35
59.2,0.26,1600.89
59.3,0.26,1603.42
59.4,0.26,1606.03
59.5,0.26,1608.97
59.6,0.26,1611.53
59.7,0.26,1614.29
59.8,0.26,1617.01
59.9,0.26,1619.77
60,0.26,1622.25
60.1,0.26,1624.97
60.2,0.26,1627.75
60.3,0.26,1630.44
60.4,0.26,1633.18
60.5,0.26,1635.63
60.6,0.26,1638.42
60.7,0.26,1641.43
60.8,0.26,1643.91
60.9,0.26,1646.75
61,0.26,1649.2
61.1,0.26,1651.94
61.2,0.26,1654.73
61.3,0.26,1657.22
61.4,0.26,1659.91
61.5,0.26,1662.44
61.6,0.26,1665.45
61.7,0.26,1667.97
61.8,0.26,1670.71
61.9,0.26,1673.31
62,0.26,1676.02
62.1,0.26,1678.88
62.2,0.26,1681.72
62.3,0.26,1684.22
62.4,0.26,1686.95
62.5,0.27,1689.57
62.6,0.27,1692.05
62.7,0.27,1694.94
62.8,0.27,1697.96
62.9,0.27,1700.29
63,0.27,1702.88
63.1,0.27,1705.48
63.2,0.27,1708.64
63.3,0.27,1710.77
63.4,0.27,1713.72
63.5,0.27,1716.58
63.6,0.27,1719.44
63.7,0.27,1721.63
63.8,0.27,1724.37
63.9,0.27,1727.21
64,0.27,1729.77
64.1,0.27,1732.67
64.2,0.27,1735.63
64.3,0.27,1737.79
64.4,0.27,1740.43
64.5,0.27,1743.11
64.6,0.27,1745.9
64.7,0.27,1748.51
64.8,0.27,1751.42
64.9,0.27,1754
65,0.27,1756.69
65.1,0.27,1759.16
65.2,0.27,1761.95
65.3,0.27,1764.98
65.4,0.27,1767.67
65.5,0.27,1770.06
65.6,0.27,1772.74
65.7,0.27,1775.66
65.8,0.27,1778.33
65.9,0.27,1780.9
66,0.27,1783.49
66.1,0.28,1786.26
66.2,0.28,1788.95
66.3,0.28,1791.62
66.4,0.28,1794.57
66.5,0.28,1797.36
66.6,0.28,1799.71
66.7,0.28,1802.23
66.8,0.28,1805.22
66.9,0.28,1808.02
67,0.28,1810.5
67.1,0.28,1813.26
67.2,0.28,1815.84
67.3,0.28,1818.66
67.4,0.28,1821.52
67.5,0.28,1823.92
