Specimen choice input : Material,Steel,
Specimen properties : Geometry,Rectangular,
Specimen properties : Width,13,mm
Specimen properties : Thickness,3.58,mm
,,
Time,Extension,Load
(s),(mm),(N)
56.9,-1.41405,724.14
57,-1.41363,725.38
57.1,-1.41312,726.67
57.2,-1.41269,727.90
57.3,-1.41218,729.15
57.4,-1.41175,730.39
57.5,-1.41132,731.70
57.6,-1.41081,732.98
57.7,-1.41038,734.22
57.8,-1.40987,735.51
57.9,-1.40936,736.76
58,-1.40893,738.02
58.1,-1.4085,739.33
58.2,-1.40799,740.55
58.3,-1.40757,741.76
58.4,-1.40705,743.01
58.5,-1.40663,744.28
58.6,-1.40611,745.50
58.7,-1.40569,746.76
58.8,-1.40526,748.01
58.9,-1.40475,749.25
59,-1.40432,750.52
59.1,-1.40381,751.77
59.2,-1.40338,753.04
59.3,-1.40287,754.27
59.4,-1.40244,755.58
59.5,-1.40193,756.84
59.6,-1.4015,758.13
59.7,-1.40099,759.40
59.8,-1.40056,760.64
59.9,-1.40005,761.89
60,-1.39954,763.16
60.1,-1.39911,764.41
60.2,-1.39869,765.64
60.3,-1.39817,766.90
60.4,-1.39775,768.12
60.5,-1.39732,769.37
60.6,-1.39681,770.53
60.7,-1.39638,771.81
60.8,-1.39587,773.10
60.9,-1.39544,774.33
61,-1.39493,775.60
61.1,-1.3945,776.88
61.2,-1.39399,778.14
61.3,-1.39348,779.44
61.4,-1.39305,780.69
61.5,-1.39254,781.96
61.6,-1.39211,783.22
61.7,-1.3916,784.52
61.8,-1.39117,785.75
61.9,-1.39066,786.99
62,-1.39023,788.26
62.1,-1.38972,789.48
62.2,-1.38929,790.74
62.3,-1.38878,791.93
62.4,-1.38836,793.20
62.5,-1.38784,794.50
62.6,-1.38742,795.73
62.7,-1.3869,797.01
62.8,-1.38648,798.30
62.9,-1.38596,799.56
63,-1.38554,800.83
63.1,-1.38503,802.07
63.2,-1.38451,803.35
63.3,-1.38409,804.58
63.4,-1.38357,805.86
63.5,-1.38315,807.14
63.6,-1.38272,808.40
63.7,-1.38221,809.61
63.8,-1.38178,810.85
63.9,-1.38127,812.06
64,-1.38084,813.32
64.1,-1.38033,814.57
64.2,-1.3799,815.85
64.3,-1.37948,817.10
64.4,-1.37896,818.34
64.5,-1.37845,819.64
64.6,-1.37802,820.87
64.7,-1.37751,822.16
64.8,-1.377,823.43
64.9,-1.37657,824.69
65,-1.37606,825.94
65.1,-1.37563,827.24
65.2,-1.37521,828.48
65.3,-1.37469,829.72
65.4,-1.37427,830.97
65.5,-1.37376,832.18
65.6,-1.37333,833.43
65.7,-1.37282,834.69
65.8,-1.37239,835.96
65.9,-1.37188,837.16
66,-1.37145,838.41
66.1,-1.37094,839.67
66.2,-1.37043,840.95
66.3,-1.37,842.24
66.4,-1.36949,843.51
66.5,-1.36906,844.79
66.6,-1.36855,846.08
66.7,-1.36804,847.35
66.8,-1.36752,848.57
66.9,-1.3671,849.82
67,-1.36667,851.08
67.1,-1.36616,852.34
67.2,-1.36573,853.57
67.3,-1.36522,854.80
67.4,-1.36479,856.06
67.5,-1.36428,857.25
67.6,-1.36385,858.47
67.7,-1.36334,859.78
67.8,-1.36283,861.03
67.9,-1.3624,862.26
68,-1.36189,863.55
68.1,-1.36138,864.82
68.2,-1.36095,866.08
68.3,-1.36044,867.38
68.4,-1.35992,868.66
68.5,-1.3595,869.94
68.6,-1.35898,871.20
68.7,-1.35847,872.44
68.8,-1.35805,873.68
68.9,-1.35753,874.93
69,-1.35711,876.14
69.1,-1.35659,877.39
69.2,-1.35608,878.67
69.3,-1.35566,879.90
69.4,-1.35514,881.20
69.5,-1.35463,882.40
69.6,-1.3542,883.74
69.7,-1.35369,884.96
69.8,-1.35318,886.26
69.9,-1.35267,887.50
70,-1.35224,888.80
70.1,-1.35173,890.05
70.2,-1.35122,891.29
70.3,-1.3507,892.57
70.4,-1.35019,893.78
70.5,-1.34976,895.07
70.6,-1.34925,896.25
70.7,-1.34882,897.57
70.8,-1.34831,898.73
70.9,-1.3478,899.99
71,-1.34729,901.26
71.1,-1.34678,902.51
71.2,-1.34635,903.79
71.3,-1.34584,905.05
71.4,-1.34532,906.31
71.5,-1.34481,907.61
71.6,-1.3443,908.88
71.7,-1.34379,910.13
71.8,-1.34336,911.43
71.9,-1.34276,912.67
72,-1.34234,913.90
72.1,-1.34182,915.16
72.2,-1.34131,916.40
72.3,-1.3408,917.63
72.4,-1.34029,918.86
72.5,-1.33977,920.12
72.6,-1.33935,921.37
72.7,-1.33884,922.63
72.8,-1.33832,923.86
72.9,-1.33781,925.15
73,-1.3373,926.42
73.1,-1.33679,927.70
73.2,-1.33619,928.97
73.3,-1.33576,930.24
73.4,-1.33516,931.52
73.5,-1.33465,932.77
73.6,-1.33422,934.04
73.7,-1.33371,935.26
73.8,-1.3332,936.51
73.9,-1.33269,937.72
74,-1.33218,938.95
74.1,-1.33166,940.16
74.2,-1.33115,941.40
74.3,-1.33064,942.68
74.4,-1.33013,943.91
74.5,-1.32961,945.20
74.6,-1.32902,946.47
74.7,-1.32859,947.75
74.8,-1.32799,949.02
74.9,-1.32748,950.33
75,-1.32697,951.58
75.1,-1.32646,952.87
75.2,-1.32586,954.12
75.3,-1.32535,955.34
75.4,-1.32483,956.60
75.5,-1.32432,957.74
75.6,-1.32381,959.02
75.7,-1.32321,960.29
75.8,-1.32278,961.59
75.9,-1.32219,962.82
76,-1.32167,964.08
76.1,-1.32108,965.37
76.2,-1.32056,966.64
76.3,-1.32005,967.91
76.4,-1.31945,969.17
76.5,-1.31894,970.46
76.6,-1.31843,971.72
76.7,-1.31792,973.02
76.8,-1.31732,974.22
76.9,-1.31681,975.43
77,-1.3163,976.66
77.1,-1.3157,977.89
77.2,-1.31519,979.17
77.3,-1.31459,980.39
77.4,-1.31408,981.69
77.5,-1.31356,982.94
77.6,-1.31297,984.22
77.7,-1.31237,985.45
77.8,-1.31186,986.79
77.9,-1.31126,988.03
78,-1.31075,989.29
78.1,-1.31023,990.58
78.2,-1.30964,991.79
78.3,-1.30912,993.07
78.4,-1.30853,994.25
78.5,-1.30801,995.51
78.6,-1.30742,996.75
78.7,-1.3069,997.98
78.8,-1.30631,999.19
78.9,-1.30571,1000.49
79,-1.30511,1001.77
79.1,-1.3046,1003.04
79.2,-1.304,1004.35
79.3,-1.3034,1005.59
79.4,-1.30289,1006.89
79.5,-1.30229,1008.15
79.6,-1.30178,1009.42
79.7,-1.30118,1010.65
79.8,-1.30059,1011.90
79.9,-1.29999,1013.10
80,-1.29948,1014.33
80.1,-1.29888,1015.55
80.2,-1.29828,1016.73
80.3,-1.29777,1018.04
80.4,-1.29717,1019.29
80.5,-1.29657,1020.59
80.6,-1.29597,1021.88
80.7,-1.29538,1023.17
80.8,-1.29478,1024.45
80.9,-1.29418,1025.71
81,-1.29358,1026.96
81.1,-1.29299,1028.21
81.2,-1.29247,1029.48
81.3,-1.29188,1030.63
81.4,-1.29128,1031.92
81.5,-1.29068,1033.17
81.6,-1.29008,1034.44
81.7,-1.28949,1035.68
81.8,-1.28889,1036.97
81.9,-1.28829,1038.25
82,-1.28761,1039.49
82.1,-1.2871,1040.79
82.2,-1.28641,1042.03
82.3,-1.28581,1043.32
82.4,-1.28522,1044.56
82.5,-1.28462,1045.83
82.6,-1.28402,1047.00
